statistic,avg_angle,avg_distance,texture,contrast,class,centroid_x,centroid_y,width,height
count,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
mean,-3.416070845000482e-17,2.2773805633336544e-17,1.1386902816668272e-17,-2.846725704167068e-17,-1.0,0.531101,0.5551659487179488,0.28376361794871796,0.7441771025641024
std,1.0,1.0,1.0,1.0,0.0,0.1355103366179709,0.052138484006259575,0.10426644481185254,0.20755184639174085
min,-2.79014942521874,-2.469162727005785,-1.2097967334444535,-1.0417999174937644,-1.0,0.296875,0.47929,0.0810811,0.235556
25%,-0.2204871808058339,-0.1179866959048835,-0.7436229802234008,-0.7403467285182945,-1.0,0.437902,0.5149825,0.210896,0.6029375
50%,0.27688685380769956,0.21918191710560075,-0.3057414168195665,-0.35293498167355836,-1.0,0.519305,0.547511,0.283333,0.836066
75%,0.5026221184476107,0.43687378838039176,0.7315594719059989,0.4666531273932142,-1.0,0.63639,0.5796385,0.33634149999999996,0.88512
max,2.162061627664859,2.494365947305367,2.966801746107732,2.691129877088162,-1.0,0.799353,0.672131,0.513514,1.0
