statistic,avg_angle,avg_distance,texture,contrast,class,centroid_x,centroid_y,width,height
count,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
mean,5.693451408334136e-17,1.25255930983351e-16,-7.97083197166779e-17,-1.1956247957501685e-16,-1.0,0.531101,0.5551659487179488,0.28376361794871796,0.7441771025641024
std,1.0,1.0,1.0,1.0,0.0,0.1355103366179709,0.052138484006259575,0.10426644481185254,0.20755184639174085
min,-2.79014942521874,-2.469162727005785,-1.2097967334444535,-1.0417999174937647,-1.0,0.296875,0.47929,0.0810811,0.235556
25%,-0.22048718080583385,-0.11798669590488337,-0.7436229802234009,-0.7403467285182947,-1.0,0.437902,0.5149825,0.210896,0.6029375
50%,0.2768868538076996,0.2191819171056009,-0.30574141681956657,-0.35293498167355847,-1.0,0.519305,0.547511,0.283333,0.836066
75%,0.5026221184476108,0.43687378838039187,0.7315594719059988,0.4666531273932141,-1.0,0.63639,0.5796385,0.33634149999999996,0.88512
max,2.162061627664859,2.494365947305367,2.966801746107732,2.691129877088162,-1.0,0.799353,0.672131,0.513514,1.0
